RENDA,NÚMERO DE CRIANÇAS,IDADE_MEDIA,EDUCAÇÃO_LE,IDADE_FAIXA_LE,CREDIT SCORE_LE,GÊNERO_Macho,ESTADO CIVIL_Solteiro,PROPRIEDADE DE CASA_Controlado
77500.0,1,49.0,2,2,0,0,0,1
57500.0,0,25.0,0,0,2,0,1,0
112500.0,2,30.0,4,0,0,1,0,1
85000.0,1,35.0,2,1,0,0,0,1
60000.0,0,25.0,0,0,2,0,1,0
117500.0,2,30.0,4,0,0,1,0,1
90000.0,1,35.0,2,1,0,0,0,1
75000.0,0,28.0,0,0,2,1,1,0
82000.0,1,33.0,4,1,0,0,0,1
95000.0,0,31.0,2,1,0,1,1,0
55000.0,1,26.0,0,0,2,0,0,1
85000.0,0,32.0,4,1,0,1,1,0
68000.0,2,29.0,2,0,2,0,0,1
105000.0,1,34.0,0,1,0,1,0,0
55000.0,0,25.0,0,0,2,0,1,0
105000.0,2,30.0,4,0,0,1,0,1
80000.0,1,35.0,2,1,0,0,0,1
130000.0,0,40.0,1,1,0,1,1,1
105000.0,3,45.0,0,2,0,0,0,1
155000.0,0,50.0,4,2,0,1,0,1
45000.0,0,26.0,3,0,2,0,1,0
65000.0,0,31.0,0,1,2,1,1,0
85000.0,2,36.0,4,1,0,0,0,1
110000.0,0,37.0,2,1,0,1,1,1
95000.0,1,37.0,1,1,0,0,0,1
140000.0,0,37.0,0,1,0,1,0,1
37500.0,0,37.0,1,1,1,0,1,0
57500.0,0,37.0,3,1,2,1,1,0
72500.0,2,37.0,0,1,0,0,0,1
100000.0,0,37.0,4,1,0,1,1,1
90000.0,1,37.0,2,1,0,0,0,1
130000.0,0,37.0,1,1,0,1,0,1
32500.0,0,28.0,3,0,1,0,1,0
52500.0,0,33.0,1,1,2,1,1,0
67500.0,2,38.0,0,1,0,0,0,1
92500.0,0,43.0,4,2,0,1,1,1
82500.0,1,48.0,2,2,0,0,0,1
122500.0,0,53.0,3,3,0,1,0,1
27500.0,0,29.0,1,0,1,0,1,0
47500.0,0,34.0,3,1,2,1,1,0
62500.0,2,39.0,0,1,0,0,0,1
87500.0,0,44.0,4,2,0,1,1,1
77500.0,1,49.0,2,2,0,0,0,1
